# y0=10.000000 v0=20.000000 alfa=35.000000 a=1.000000
# tD=3.015792 xmax=49.407845 tmax=1.169770 ymax=22.981333
t(s)	xsur(m)	ysur(m)	vx(m/s)	vy(m/s)	v(m/s)
1.089999	17.857504	16.678326	16.383041	0.782287	16.401709
1.099999	18.021334	16.685659	16.383041	0.684220	16.397324
1.109999	18.185163	16.692009	16.383041	0.586154	16.393524
1.119999	18.348995	16.697382	16.383041	0.488088	16.390310
1.129999	18.512825	16.701771	16.383041	0.390021	16.387684
1.139999	18.676655	16.705181	16.383041	0.291955	16.385643
1.149999	18.840485	16.707611	16.383041	0.193889	16.384190
1.159999	19.004316	16.709059	16.383041	0.095822	16.383322
1.169999	19.168146	16.709528	16.383041	-0.002244	16.383041
1.179999	19.331976	16.709015	16.383041	-0.100310	16.383348
1.189999	19.495806	16.707521	16.383041	-0.198377	16.384243
1.199999	19.659637	16.705048	16.383041	-0.296444	16.385723
1.209999	19.823467	16.701591	16.383041	-0.394510	16.387791
1.219999	19.987297	16.697157	16.383041	-0.492577	16.390446
1.229999	20.151127	16.691740	16.383041	-0.590643	16.393684
1.239999	20.314959	16.685343	16.383041	-0.688709	16.397512
1.249999	20.478788	16.677965	16.383041	-0.786776	16.401922
1.259999	20.642618	16.669609	16.383041	-0.884842	16.406919
1.269999	20.806448	16.660271	16.383041	-0.982908	16.412500
1.279999	20.970280	16.649952	16.383041	-1.080975	16.418665
1.289999	21.134109	16.638651	16.383041	-1.179041	16.425413
1.299999	21.297939	16.626369	16.383041	-1.277107	16.432743
1.309999	21.461769	16.613108	16.383041	-1.375174	16.440657
1.319999	21.625599	16.598866	16.383041	-1.473240	16.449148
1.329999	21.789431	16.583643	16.383041	-1.571307	16.458221
1.339999	21.953260	16.567440	16.383041	-1.669374	16.467873
1.349999	22.117090	16.550255	16.383041	-1.767440	16.478104
1.359999	22.280920	16.532091	16.383041	-1.865506	16.488911
1.369999	22.444752	16.512947	16.383041	-1.963573	16.500294
1.379999	22.608582	16.492821	16.383041	-2.061639	16.512251
1.389999	22.772411	16.471714	16.383041	-2.159705	16.524780
1.399999	22.936241	16.449625	16.383041	-2.257771	16.537884
1.409999	23.100073	16.426558	16.383041	-2.355838	16.551556
1.419999	23.263903	16.402510	16.383041	-2.453904	16.565800
1.429999	23.427732	16.377480	16.383041	-2.551970	16.580608
1.439999	23.591562	16.351469	16.383041	-2.650037	16.595985
1.449999	23.755394	16.324478	16.383041	-2.748104	16.611927
1.459999	23.919224	16.296507	16.383041	-2.846170	16.628431
1.469999	24.083054	16.267555	16.383041	-2.944237	16.645496
1.479999	24.246883	16.237621	16.383041	-3.042303	16.663122
1.489999	24.410715	16.206709	16.383041	-3.140369	16.681305
1.499999	24.574545	16.174816	16.383041	-3.238436	16.700045
1.509999	24.738375	16.141941	16.383041	-3.336502	16.719339
1.519999	24.902205	16.108086	16.383041	-3.434568	16.739185
1.529999	25.066034	16.073248	16.383041	-3.532635	16.759583
1.539999	25.229866	16.037432	16.383041	-3.630701	16.780525
1.549999	25.393696	16.000635	16.383041	-3.728767	16.802017
1.559999	25.557526	15.962858	16.383041	-3.826834	16.824051
1.569999	25.721355	15.924100	16.383041	-3.924901	16.846628
1.579999	25.885187	15.884359	16.383041	-4.022967	16.869745
1.589999	26.049017	15.843639	16.383041	-4.121034	16.893400
1.599999	26.212847	15.801939	16.383041	-4.219100	16.917591
1.609999	26.376677	15.759258	16.383041	-4.317166	16.942314
1.619999	26.540508	15.715597	16.383041	-4.415233	16.967567
1.629999	26.704338	15.670953	16.383041	-4.513299	16.993349
1.639999	26.868168	15.625330	16.383041	-4.611366	17.019659
1.649999	27.031998	15.578726	16.383041	-4.709433	17.046490
1.659999	27.195829	15.531142	16.383041	-4.807499	17.073843
1.669999	27.359659	15.482577	16.383041	-4.905565	17.101715
1.679999	27.523489	15.433029	16.383041	-5.003632	17.130102
1.689999	27.687319	15.382504	16.383041	-5.101698	17.159002
1.699999	27.851151	15.330997	16.383041	-5.199764	17.188414
1.709999	28.014980	15.278509	16.383041	-5.297831	17.218336
1.719999	28.178810	15.225039	16.383041	-5.395897	17.248760
1.729999	28.342640	15.170590	16.383041	-5.493963	17.279690
1.739999	28.506470	15.115161	16.383041	-5.592030	17.311119
1.749999	28.670301	15.058750	16.383041	-5.690096	17.343046
1.759999	28.834131	15.001360	16.383041	-5.788162	17.375467
1.769999	28.997961	14.942986	16.383041	-5.886229	17.408381
1.779999	29.161791	14.883634	16.383041	-5.984295	17.441784
1.789999	29.325623	14.823301	16.383041	-6.082361	17.475674
1.799999	29.489452	14.761988	16.383041	-6.180428	17.510048
1.809999	29.653282	14.699694	16.383041	-6.278494	17.544901
1.819999	29.817112	14.636416	16.383041	-6.376560	17.580233
1.829999	29.980944	14.572162	16.383041	-6.474627	17.616039
1.839999	30.144773	14.506926	16.383041	-6.572693	17.652319
1.849999	30.308603	14.440708	16.383041	-6.670759	17.689066
1.859999	30.472433	14.373511	16.383041	-6.768826	17.726280
1.869999	30.636265	14.305331	16.383041	-6.866892	17.763960
1.879999	30.800095	14.236172	16.383041	-6.964960	17.802099
1.889999	30.963924	14.166033	16.383041	-7.063026	17.840694
1.899999	31.127754	14.094913	16.383041	-7.161093	17.879745
1.909999	31.291586	14.022812	16.383041	-7.259159	17.919247
1.919999	31.455416	13.949728	16.383041	-7.357225	17.959198
1.929999	31.619246	13.875667	16.383041	-7.455292	17.999596
1.939999	31.783075	13.800624	16.383041	-7.553358	18.040434
1.949998	31.946905	13.724600	16.383041	-7.651424	18.081713
1.959998	32.110737	13.647595	16.383041	-7.749491	18.123428
1.969998	32.274567	13.569608	16.383041	-7.847557	18.165579
1.979998	32.438396	13.490642	16.383041	-7.945623	18.208157
1.989998	32.602226	13.410696	16.383041	-8.043690	18.251163
1.999998	32.766056	13.329769	16.383041	-8.141756	18.294596
2.009999	32.929890	13.247859	16.383041	-8.239824	18.338451
2.019999	33.093719	13.164971	16.383041	-8.337891	18.382723
2.029999	33.257549	13.081102	16.383041	-8.435957	18.427410
2.039999	33.421379	12.996253	16.383041	-8.534023	18.472509
2.049999	33.585209	12.910423	16.383041	-8.632090	18.518019
2.059999	33.749043	12.823612	16.383041	-8.730156	18.563934
2.069999	33.912872	12.735821	16.383041	-8.828222	18.610254
2.079998	34.076702	12.647049	16.383041	-8.926289	18.656973
2.089998	34.240532	12.557296	16.383041	-9.024355	18.704090
2.099998	34.404362	12.466562	16.383041	-9.122421	18.751602
2.109998	34.568192	12.374848	16.383041	-9.220488	18.799507
2.119998	34.732021	12.282154	16.383041	-9.318554	18.847797
2.129998	34.895851	12.188478	16.383041	-9.416620	18.896475
2.139998	35.059685	12.093819	16.383041	-9.514687	18.945536
2.149998	35.223515	11.998181	16.383041	-9.612753	18.994976
2.159998	35.387344	11.901565	16.383041	-9.710819	19.044790
2.169998	35.551174	11.803967	16.383041	-9.808886	19.094980
2.179998	35.715004	11.705388	16.383041	-9.906952	19.145542
2.189998	35.878834	11.605824	16.383041	-10.005018	19.196470
2.199998	36.042664	11.505284	16.383041	-10.103085	19.247763
2.209998	36.206493	11.403764	16.383041	-10.201153	19.299419
2.219998	36.370323	11.301262	16.383041	-10.299219	19.351433
2.229998	36.534157	11.197781	16.383041	-10.397285	19.403803
2.239998	36.697987	11.093318	16.383041	-10.495352	19.456528
2.249998	36.861816	10.987874	16.383041	-10.593418	19.509602
2.259998	37.025646	10.881451	16.383041	-10.691484	19.563023
2.269998	37.189476	10.774046	16.383041	-10.789551	19.616791
2.279998	37.353306	10.665660	16.383041	-10.887617	19.670898
2.289998	37.517136	10.556294	16.383041	-10.985683	19.725346
2.299998	37.680965	10.445948	16.383041	-11.083750	19.780130
2.309998	37.844799	10.334620	16.383041	-11.181816	19.835249
2.319998	38.008629	10.222312	16.383041	-11.279882	19.890696
2.329998	38.172459	10.109024	16.383041	-11.377949	19.946472
2.339998	38.336288	9.994751	16.383041	-11.476015	20.002575
2.349998	38.500118	9.879500	16.383041	-11.574081	20.058998
2.359998	38.663948	9.763270	16.383041	-11.672148	20.115742
2.369998	38.827778	9.646059	16.383041	-11.770214	20.172804
2.379998	38.991608	9.527866	16.383041	-11.868280	20.230179
2.389998	39.155437	9.408690	16.383041	-11.966347	20.287867
2.399998	39.319271	9.288537	16.383041	-12.064413	20.345861
2.409998	39.483101	9.167403	16.383041	-12.162479	20.404165
2.419998	39.646931	9.045288	16.383041	-12.260546	20.462772
2.429998	39.810760	8.922193	16.383041	-12.358612	20.521679
2.439998	39.974590	8.798117	16.383041	-12.456678	20.580887
2.449998	40.138420	8.673060	16.383041	-12.554745	20.640388
2.459998	40.302250	8.547023	16.383041	-12.652813	20.700188
2.469998	40.466080	8.420005	16.383041	-12.750879	20.760273
2.479998	40.629913	8.292006	16.383041	-12.848946	20.820650
2.489998	40.793743	8.163028	16.383041	-12.947012	20.881311
2.499998	40.957573	8.033068	16.383041	-13.045078	20.942257
2.509998	41.121403	7.902127	16.383041	-13.143145	21.003483
2.519998	41.285233	7.770205	16.383041	-13.241211	21.064987
2.529998	41.449062	7.637300	16.383041	-13.339277	21.126770
2.539998	41.612892	7.503417	16.383041	-13.437344	21.188824
2.549998	41.776722	7.368554	16.383041	-13.535410	21.251150
2.559998	41.940556	7.232710	16.383041	-13.633476	21.313745
2.569998	42.104385	7.095886	16.383041	-13.731543	21.376606
2.579998	42.268215	6.958076	16.383041	-13.829609	21.439734
2.589998	42.432045	6.819291	16.383041	-13.927675	21.503120
2.599998	42.595875	6.679524	16.383041	-14.025742	21.566769
2.609998	42.759705	6.538777	16.383041	-14.123808	21.630672
2.619998	42.923534	6.397049	16.383041	-14.221874	21.694834
2.629998	43.087364	6.254341	16.383041	-14.319941	21.759245
2.639998	43.251194	6.110651	16.383041	-14.418007	21.823908
2.649998	43.415028	5.965981	16.383041	-14.516073	21.888819
2.659998	43.578857	5.820331	16.383041	-14.614140	21.953978
2.669998	43.742687	5.673700	16.383041	-14.712206	22.019379
2.679998	43.906517	5.526088	16.383041	-14.810272	22.085022
2.689998	44.070347	5.377495	16.383041	-14.908339	22.150906
2.699998	44.234177	5.227922	16.383041	-15.006407	22.217028
2.709998	44.398006	5.077368	16.383041	-15.104473	22.283382
2.719998	44.561836	4.925830	16.383041	-15.202539	22.349972
2.729998	44.725670	4.773315	16.383041	-15.300606	22.416792
2.739998	44.889500	4.619819	16.383041	-15.398672	22.483843
2.749998	45.053329	4.465343	16.383041	-15.496738	22.551119
2.759998	45.217159	4.309885	16.383041	-15.594805	22.618620
2.769998	45.380989	4.153444	16.383041	-15.692871	22.686346
2.779998	45.544819	3.996025	16.383041	-15.790937	22.754292
2.789998	45.708649	3.837630	16.383041	-15.889004	22.822456
2.799998	45.872478	3.678246	16.383041	-15.987070	22.890839
2.809998	46.036308	3.517886	16.383041	-16.085136	22.959436
2.819998	46.200142	3.356544	16.383041	-16.183203	23.028246
2.829998	46.363972	3.194223	16.383041	-16.281269	23.097267
2.839998	46.527802	3.030920	16.383041	-16.379335	23.166498
2.849998	46.691631	2.866637	16.383041	-16.477402	23.235937
2.859998	46.855461	2.701373	16.383041	-16.575468	23.305584
2.869998	47.019291	2.535129	16.383041	-16.673534	23.375431
2.879998	47.183121	2.367904	16.383041	-16.771601	23.445482
2.889998	47.346951	2.199694	16.383041	-16.869667	23.515734
2.899998	47.510784	2.030508	16.383041	-16.967733	23.586182
2.909998	47.674614	1.860340	16.383041	-17.065800	23.656830
2.919998	47.838444	1.689193	16.383041	-17.163866	23.727671
2.929998	48.002274	1.517064	16.383041	-17.261932	23.798704
2.939998	48.166103	1.343955	16.383041	-17.359999	23.869932
2.949998	48.329933	1.169865	16.383041	-17.458067	23.941347
2.959998	48.493763	0.994795	16.383041	-17.556133	24.012951
2.969998	48.657593	0.818744	16.383041	-17.654200	24.084743
2.979998	48.821426	0.641712	16.383041	-17.752266	24.156717
2.989998	48.985256	0.463696	16.383041	-17.850332	24.228876
2.999998	49.149086	0.284703	16.383041	-17.948399	24.301216
3.009998	49.312916	0.104729	16.383041	-18.046465	24.373735
